id,name,host_id,host_name,host_is_superhost,neighbourhood,neighbourhood_group_cleansed,beds,price,review_scores_rating
19738080,Condo in Bozeman · ★4.36 · 1 bedroom · 2 beds · 1 bath,78849013,Stay Montana,t,,,2,$63.00,4.36
19986314,Home in Bozeman · ★4.77 · 2 bedrooms · 2 beds · 1 bath,121782093,Samantha,f,Bozeman, Montana, United States,,2,$155.00,4.77
20121999,Home in Bozeman · ★4.82 · 1 bedroom · 1 bed · 1 shared bath,13861863,Kendall,f,Bozeman, Montana, United States,,1,$82.00,4.82
20468639,Home in Bozeman · ★4.72 · 1 bedroom · 1 bed · 1 private bath,146144535,Josh,f,Bozeman, Montana, United States,,1,$80.00,4.72
21391763,Townhouse in Bozeman · ★4.97 · 3 bedrooms · 3 beds · 2 baths,33606492,Jordan,t,Bozeman, Montana, United States,,3,$185.00,4.97
21436733,Condo in Bozeman · ★4.91 · 3 bedrooms · 3 beds · 2 baths,106429221,Vacation Homes Bozeman,t,Bozeman, Montana, United States,,3,$170.00,4.91
21563216,Rental unit in Bozeman · ★4.86 · 1 bedroom · 2 beds · 1 bath,147544279,Catrina,t,Bozeman, Montana, United States,,2,$93.00,4.86
21788567,Loft in Bozeman · ★4.97 · 1 bedroom · 3 beds · 1 bath,22821126,Berit,f,Bozeman, Montana, United States,,3,$109.00,4.97
22010637,Home in Bozeman · ★4.96 · 3 bedrooms · 3 beds · 2.5 baths,100568826,Victoria,t,Bozeman, Montana, United States,,3,$133.00,4.96
22031067,Townhouse in Bozeman · ★4.82 · 3 bedrooms · 4 beds · 2.5 baths,158595657,Mountain Home,t,,,4,$385.00,4.82
22031078,Home in Bozeman · ★5.0 · 4 bedrooms · 9 beds · 3 baths,158595657,Mountain Home,t,,,9,$653.00,5.0
22031083,Townhouse in Bozeman · ★4.87 · 2 bedrooms · 2 beds · 2 baths,158595657,Mountain Home,t,,,2,$260.00,4.87
22031084,Townhouse in Bozeman · ★4.80 · 3 bedrooms · 4 beds · 2.5 baths,158595657,Mountain Home,t,,,4,$425.00,4.8
22031123,Townhouse in Bozeman · ★4.94 · 4 bedrooms · 5 beds · 3.5 baths,158595657,Mountain Home,t,,,5,$548.00,4.94
22031166,Townhouse in Bozeman · ★4.84 · 2 bedrooms · 3 beds · 2.5 baths,158595657,Mountain Home,t,,,3,$247.00,4.84
